pktTotalSize,pktMeanSize,pktVarSize,pktMinSize,serviceType,windowTotal,windowMean,windowVar,windowMin,windowMax,numberOfRstFlag,numberOfPshFlag,numberOfKeepAlive,numberOfSyncFlood,LABEL
6300,787.5,362.0,40,32239,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
6188,773.5,362.0,40,32240,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
5425,678.125,362.0,40,32244,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
5487,685.875,374.5,40,32241,66452,8306.5,16351.0,131,65535,0,3,0,0,Amazon
5487,685.875,374.5,40,32243,66452,8306.5,16351.0,131,65535,0,3,0,0,Amazon
5487,685.875,374.5,40,32245,66452,8306.5,16351.0,131,65535,0,3,0,0,Amazon
5425,678.125,362.0,40,32246,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
5425,678.125,362.0,40,32242,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
6188,773.5,362.0,40,32247,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
6417,802.125,340.0,40,32248,237531,29691.375,6143.25,8190,32763,0,1,0,0,Amazon
6188,773.5,362.0,40,32249,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
5110,638.75,363.75,40,32271,26932,3366.5,6719.0,7,26883,0,4,0,0,Amazon
6573,821.625,340.0,40,32272,11254,1406.75,1941.5,424,8190,0,1,0,0,Amazon
5103,637.875,371.75,40,32281,28438,3554.75,6666.0,219,26883,0,2,0,0,Amazon
5085,635.625,427.5,40,32285,27653,3456.625,6693.25,110,26883,0,2,0,0,Amazon
6120,765.0,362.0,40,32289,67362,8420.25,16318.5,261,65535,0,2,0,0,Amazon
5103,637.875,362.0,40,32291,28461,3557.625,6666.0,219,26883,0,2,0,0,Amazon
6120,765.0,362.0,40,32293,67362,8420.25,16318.5,261,65535,0,2,0,0,Amazon
5567,695.875,657.5,40,32303,59832,7479.0,7240.75,237,29200,0,2,0,0,Amazon
6188,773.5,362.0,40,14521,66455,8306.875,16351.0,131,65535,0,2,0,0,Amazon
6300,787.5,362.0,40,14559,66452,8306.5,16351.0,131,65535,0,2,0,0,Amazon
6300,787.5,362.0,40,14502,66498,8312.25,16351.0,131,65535,0,2,0,0,Amazon
1347,168.375,219.25,40,14551,5466,683.25,45.25,570,751,0,4,0,0,Amazon
5487,685.875,374.5,40,14562,66452,8306.5,16351.0,131,65535,0,3,0,0,Amazon
5487,685.875,374.5,40,14561,66452,8306.5,16351.0,131,65535,0,3,0,0,Amazon
